type,id,lat,lon,tags/crossing,tags/crossing:island,tags/crossing:markings,tags/highway,tags/button_operated,tags/tactile_paving,tags/kerb,tags/crossing:signals,tags/bicycle,tags/source,tags/traffic_signals:sound,tags/traffic_signals:vibration,tags/traffic_calming,tags/crossing_ref,tags/foot,tags/traffic_signals,tags/check_date:crossing,tags/check_date:tactile_paving,tags/check_date:traffic_signals:vibration,tags/check_date:traffic_signals:sound,tags/traffic_signals:direction,tags/surface,tags/direction,tags/wheelchair,tags/level,tags/panoramax,tags/lit,bounds/minlat,bounds/minlon,bounds/maxlat,bounds/maxlon,nodes/0,nodes/1,geometry/0/lat,geometry/0/lon,geometry/1/lat,geometry/1/lon,tags/footway,nodes/2,nodes/3,geometry/2/lat,geometry/2/lon,geometry/3/lat,geometry/3/lon,tags/smoothness,tags/name,tags/name:etymology:wikidata,tags/ref,nodes/4,nodes/5,geometry/4/lat,geometry/4/lon,geometry/5/lat,geometry/5/lon,tags/check_date:surface,tags/cycleway:surface,tags/footway:surface,tags/segregated,nodes/6,nodes/7,geometry/6/lat,geometry/6/lon,geometry/7/lat,geometry/7/lon,tags/covered,tags/layer,tags/oneway,tags/separated,nodes/8,nodes/9,geometry/8/lat,geometry/8/lon,geometry/9/lat,geometry/9/lon,tags/horse,tags/tunnel,tags/lanes,tags/width,tags/motor_vehicle,tags/motorcycle,tags/check_date:smoothness,tags/check_date,tags/construction,tags/area,tags/fixme
way,585918824,,,zebra,yes,,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5054767,11.3426952,44.505632,11.3429496,1628372231,1628372313,44.5054767,11.3429496,44.5055298,11.3429101,crossing,1628372356,1628372376,44.5055469,11.3428974,44.5055655,11.3428838,,,,,11446895470,10902362230,44.5056058,11.342854,44.5056088,11.342851,,,,,1628372483,1628372486,44.5056108,11.3428448,44.5056152,11.3428136,,,,,1628372506,10905602077,44.5056261,11.3427382,44.505632,11.3426952,,,,,,,,,,,
way,585922902,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.513439,11.3471453,44.5134625,11.3473406,5598764116,5598764117,44.513439,11.3473406,44.5134551,11.3472128,crossing,5598764118,,44.5134625,11.3471453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585922903,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5130359,11.3470676,44.5130589,11.3472403,5598764119,5598764120,44.5130359,11.3472403,44.5130532,11.3471068,crossing,10971338165,,44.5130589,11.3470676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585922904,,,zebra,no,zebra,footway,,no,,,,,,,table,,,,,,,,,asphalt,,,,,yes,44.5129686,11.3470251,44.5130422,11.3470435,5598770721,5598770722,44.5130422,11.3470435,44.5130072,11.3470347,crossing,10971424472,,44.5129686,11.3470251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585922905,,,zebra,no,zebra,footway,,no,,,,,,,table,,,,,,,,,asphalt,,,,,yes,44.5136936,11.3472064,44.5137372,11.347217,5598770724,5598770725,44.5137372,11.347217,44.5137169,11.3472121,crossing,5598770726,,44.5136936,11.3472064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585922906,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5139522,11.3474656,44.5140248,11.3474805,10971022582,5598770728,44.5139522,11.3474656,44.5139889,11.3474725,crossing,12677042052,10971022581,44.5140158,11.3474785,44.5140248,11.3474805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585922907,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5141237,11.3473488,44.5141477,11.3475043,5598770730,5598770731,44.5141237,11.3475043,44.5141444,11.3473869,crossing,5598770732,,44.5141477,11.3473488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585922908,,,zebra,no,zebra,footway,,no,,,,,,,table,,,,,,,,,asphalt,,,,,yes,44.5140664,11.3472982,44.514127,11.3473154,10971022557,5598770733,44.514127,11.3473154,44.5140999,11.3473077,crossing,5598770734,,44.5140664,11.3472982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585924698,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5145997,11.3476445,44.5146759,11.3476717,10971041398,5598783148,44.5146759,11.3476717,44.5146393,11.3476581,crossing,10971041399,,44.5145997,11.3476445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585924699,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5148818,11.3475786,44.5149055,11.3477336,5598783150,5598783151,44.5148818,11.3477336,44.5148987,11.3476144,crossing,5598783152,,44.5149055,11.3475786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585924701,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5150109,11.3476061,44.5150274,11.3477632,5598783153,5598783155,44.5150274,11.3476061,44.5150238,11.3476475,crossing,5598783156,,44.5150109,11.3477632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,585924702,,,traffic_signals,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5157953,11.3476333,44.5159103,11.3478208,5598783157,5598783158,44.5159098,11.3476333,44.5159103,11.3476964,crossing,5598783159,5598783160,44.5159098,11.3478089,44.5158355,11.3478181,,,,,5598783161,5598783162,44.5157953,11.3478208,44.5157978,11.3477028,,,,,5598783163,5598783164,44.5157999,11.3476426,44.5158497,11.3476389,,,,,5598783157,,44.5159098,11.3476333,,,,,,,,,,,,,
